frame,landmark,x,y,depth,classification,orientation,measurement_allowed
frame_000001,neck_base,151.31265258789062,173.912353515625,1.6031750440597534,EN_RANGO,front,True
frame_000002,neck_base,119.91001510620117,174.21747589111328,1.5838794708251953,CERCA,front,True
frame_000003,neck_base,74.34639263153076,163.6048583984375,1.5203099250793457,CERCA,front,True
frame_000004,neck_base,152.2113800048828,165.9629669189453,1.4587228298187256,CERCA,front,True
frame_000005,neck_base,138.3625602722168,165.5857391357422,1.423880934715271,CERCA,front,True
frame_000006,neck_base,106.48881149291992,164.08181762695312,1.3598761558532715,CERCA,not_front,False
frame_000007,neck_base,134.52526092529297,162.68224334716797,1.2505923509597778,CERCA,not_front,False
frame_000008,neck_base,167.08295440673828,169.48831939697266,1.2155441045761108,CERCA,not_front,False
frame_000009,neck_base,156.21340942382812,174.96270751953125,1.220083236694336,CERCA,front,True
frame_000010,neck_base,217.06019592285156,182.4467544555664,1.2518850564956665,CERCA,not_front,False
frame_000011,neck_base,154.71452713012695,165.07547760009766,1.369713306427002,CERCA,not_front,False
frame_000012,neck_base,165.70012664794922,156.29237365722656,1.4131649732589722,CERCA,not_front,False
frame_000013,neck_base,204.64830017089844,166.4903564453125,1.369076132774353,CERCA,not_front,False
frame_000014,neck_base,128.38856506347656,175.01434326171875,1.426383376121521,CERCA,not_front,False
frame_000015,neck_base,140.60140991210938,179.48754119873047,1.4261692762374878,CERCA,not_front,False
frame_000016,neck_base,108.17505264282227,191.16455078125,1.3960046768188477,CERCA,not_front,False
frame_000017,neck_base,54.81182622909546,187.80388641357422,1.4192397594451904,CERCA,not_front,False
frame_000018,neck_base,120.66284561157227,188.8395538330078,1.4501672983169556,CERCA,not_front,False
frame_000019,neck_base,154.10406494140625,185.6360092163086,1.47150456905365,CERCA,not_front,False
frame_000020,neck_base,63.308719635009766,150.87589263916016,1.4470549821853638,CERCA,not_front,False
frame_000021,neck_base,123.30440521240234,153.86812591552734,1.4878606796264648,CERCA,not_front,False
frame_000022,neck_base,66.83017921447754,151.85568237304688,1.4253348112106323,CERCA,not_front,False
frame_000023,neck_base,90.80984497070312,162.7125701904297,1.4017305374145508,CERCA,not_front,False
frame_000024,neck_base,194.3275146484375,173.12992095947266,1.3354886770248413,CERCA,not_front,False
frame_000025,neck_base,160.46289825439453,179.35442352294922,1.2762845754623413,CERCA,not_front,False
frame_000026,neck_base,188.27323150634766,182.5704345703125,1.2741179466247559,CERCA,not_front,False
frame_000027,neck_base,176.6036834716797,164.916748046875,1.371720552444458,CERCA,not_front,False
frame_000028,neck_base,110.16061782836914,132.4197540283203,1.449798583984375,CERCA,front,True
frame_000029,neck_base,151.09183502197266,122.50450897216797,1.456779956817627,CERCA,front,True
frame_000030,neck_base,157.8294219970703,116.06058502197266,1.439172387123108,CERCA,front,True
frame_000031,neck_base,135.6541290283203,115.49113082885742,1.4420543909072876,CERCA,front,True
frame_000032,neck_base,148.24801635742188,117.70527267456055,1.3847849369049072,CERCA,front,True
frame_000033,neck_base,128.49882888793945,142.37747192382812,1.3682042360305786,CERCA,front,True
frame_000034,neck_base,144.74171829223633,145.264404296875,1.3660588264465332,CERCA,front,True
